date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:14:56	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2018%20May%202021%2023:14:56%20GMT	https://token.codewithjoe.net/robots.txt		(from )
07:14:56	8779/8779	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Mar%202021%2013:01:11%20GMT	https://token.codewithjoe.net/	C:/Users/Sam/Desktop/codewithjoe/token/token.codewithjoe.net/index.html	(from )
07:14:57	7045/7045	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Mar%202021%2018:42:39%20GMT	https://token.codewithjoe.net/logo.png	C:/Users/Sam/Desktop/codewithjoe/token/token.codewithjoe.net/logo.png	(from https://token.codewithjoe.net/)
07:14:57	160302/160302	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:11%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	C:/Users/Sam/Desktop/codewithjoe/token/maxcdn.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	(from https://token.codewithjoe.net/)
07:14:57	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	C:/Users/Sam/Desktop/codewithjoe/token/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://token.codewithjoe.net/)
07:14:58	21257/21257	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-5309%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.16.0/umd/popper.min.js	C:/Users/Sam/Desktop/codewithjoe/token/cdnjs.cloudflare.com/ajax/libs/popper.js/1.16.0/umd/popper.min.js	(from https://token.codewithjoe.net/)
07:14:58	60044/60044	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:11%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js	C:/Users/Sam/Desktop/codewithjoe/token/maxcdn.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js	(from https://token.codewithjoe.net/)
07:14:59	1213/1213	---M--	200	added ('OK')	text/css	date:Mon,%2022%20Mar%202021%2012:55:25%20GMT	https://token.codewithjoe.net/style.css	C:/Users/Sam/Desktop/codewithjoe/token/token.codewithjoe.net/style.css	(from https://token.codewithjoe.net/)
07:14:59	2103/2103	---MCZ	200	added ('OK')	text/css	etag:W/%22d67b6072a15510e2010ad947aa1213c3%22	http://cdn-images.mailchimp.com/embedcode/slim-10_7.css	C:/Users/Sam/Desktop/codewithjoe/token/cdn-images.mailchimp.com/embedcode/slim-10_7.css	(from https://token.codewithjoe.net/)
07:14:59	214231/214231	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b18f0482422d07d9a71b4922ad2b6125%22	https://widgets.coingecko.com/coingecko-coin-price-marquee-widget.js	C:/Users/Sam/Desktop/codewithjoe/token/widgets.coingecko.com/coingecko-coin-price-marquee-widget.js	(from https://token.codewithjoe.net/)
07:15:00	1163746/1163746	---MCZ	200	added ('OK')	application/javascript	etag:%2211c1e2-CBKBj3aedzOyuXE1C535ub1XCzM%22	https://unpkg.com/web3@1.2.11/dist/web3.min.js	C:/Users/Sam/Desktop/codewithjoe/token/unpkg.com/web3@1.2.11/dist/web3.min.js	(from https://token.codewithjoe.net/)
07:15:00	428153/428153	---MCZ	200	added ('OK')	application/javascript	etag:%2268879-tm7vwPb2IqrA2oEDTYylltO0M54%22	https://unpkg.com/web3modal@1.9.0/dist/index.js	C:/Users/Sam/Desktop/codewithjoe/token/unpkg.com/web3modal@1.9.0/dist/index.js	(from https://token.codewithjoe.net/)
07:15:00	22657/22657	---MCZ	200	added ('OK')	application/javascript	etag:%225881-yk4n8EqlvpHDLglCWD85vKUneh8%22	https://unpkg.com/evm-chains@0.2.0/dist/umd/index.min.js	C:/Users/Sam/Desktop/codewithjoe/token/unpkg.com/evm-chains@0.2.0/dist/umd/index.min.js	(from https://token.codewithjoe.net/)
07:15:00	1062220/1062220	---MCZ	200	added ('OK')	application/javascript	etag:%2210354c-SQkpH4nf0Fs213c6eRJ65TZA0Lo%22	https://unpkg.com/@walletconnect/web3-provider@1.2.1/dist/umd/index.min.js	C:/Users/Sam/Desktop/codewithjoe/token/unpkg.com/@walletconnect/web3-provider@1.2.1/dist/umd/index.min.js	(from https://token.codewithjoe.net/)
07:15:01	35960/35960	---MCZ	200	added ('OK')	application/javascript	etag:%228c78-8aiIHAt6DTXiyYHBtC37524NjvI%22	https://unpkg.com/fortmatic@2.0.6/dist/fortmatic.js	C:/Users/Sam/Desktop/codewithjoe/token/unpkg.com/fortmatic@2.0.6/dist/fortmatic.js	(from https://token.codewithjoe.net/)
07:15:02	19458/19458	---M--	200	added ('OK')	application/javascript	date:Mon,%2022%20Mar%202021%2013:04:06%20GMT	https://token.codewithjoe.net/connect.js	C:/Users/Sam/Desktop/codewithjoe/token/token.codewithjoe.net/connect.js	(from https://token.codewithjoe.net/)
07:15:02	54958/54958	---MC-	200	added ('OK')	application/javascript	date:Tue,%2018%20May%202021%2023:15:02%20GMT	https://apis.google.com/js/platform.js	C:/Users/Sam/Desktop/codewithjoe/token/apis.google.com/js/platform.js	(from https://token.codewithjoe.net/)
07:15:02	97358/97358	---M-Z	200	added ('OK')	application/javascript	etag:%229eb59e5602fef4b3ebf6090856ff21db+gzip%22	https://platform.twitter.com/widgets.js	C:/Users/Sam/Desktop/codewithjoe/token/platform.twitter.com/widgets.js	(from https://token.codewithjoe.net/)
